,1,2,3,5,10
10,76.8543046357616,81.19851975647606,84.14223331253899,89.3222818137494,
20,53.28074988568816,56.21771950735002,60.66425310876751,67.57827982560444,82.63100036643459
50,10.260283523123402,11.417088419172373,14.467375442985201,14.967105263157896,24.579124579124578
100,0.53,0.53,0.54,0.76,1.39
200,0.0,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0,0.0
10,76.8543046357616,81.19851975647606,84.14223331253899,89.3222818137494,
20,53.28074988568816,56.21771950735002,60.66425310876751,67.57827982560444,82.63100036643459
50,10.260283523123402,11.417088419172373,14.467375442985201,14.967105263157896,24.579124579124578
100,0.53,0.53,0.54,0.76,1.39
200,0.0,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0,0.0
