,1,2,3,5,10
10,5.007216609303875,4.766410408042578,4.812367535220048,4.8834628190899005,
20,5.013895321908291,4.340836012861737,4.4919114182503534,4.880419988333657,4.635761589403973
50,4.86751488268939,4.839194469492035,5.1438169221079155,4.541522491349481,4.784688995215311
100,5.17,5.28,4.78,4.87,5.11
200,4.99,5.050000000000001,5.050000000000001,4.81,5.2299999999999995
500,4.75,4.859999999999999,4.9399999999999995,5.029999999999999,5.3
1000,4.68,5.08,4.84,5.35,5.33
10,5.007216609303875,4.766410408042578,4.812367535220048,4.8834628190899005,
20,5.013895321908291,4.340836012861737,4.4919114182503534,4.880419988333657,4.635761589403973
50,4.86751488268939,4.839194469492035,5.1648120932185595,4.541522491349481,4.784688995215311
100,5.17,5.28,4.78,4.87,5.11
200,4.99,5.050000000000001,5.050000000000001,4.81,5.2299999999999995
500,4.75,4.859999999999999,4.9399999999999995,5.029999999999999,5.3
1000,4.68,5.08,4.84,5.35,5.33
