,1,2,3,5,10
10,5.318085933163095,5.050266114725015,4.999376636329635,4.587495375508694,
20,5.257063455303381,4.756162915326902,4.790325113868383,4.569317518957806,5.04047093451067
50,4.855842185128983,5.305079651337541,4.555952131009867,4.887543252595155,6.539074960127592
100,5.17,5.36,5.21,4.77,4.88
200,5.01,4.760000000000001,5.140000000000001,4.92,4.92
500,4.9399999999999995,4.89,4.760000000000001,4.73,4.75
1000,5.18,4.96,5.45,5.01,5.06
10,5.318085933163095,5.050266114725015,4.999376636329635,4.587495375508694,
20,5.257063455303381,4.756162915326902,4.790325113868383,4.569317518957806,5.04047093451067
50,4.855842185128983,5.305079651337541,4.555952131009867,4.887543252595155,6.539074960127592
100,5.17,5.36,5.21,4.77,4.88
200,5.01,4.760000000000001,5.140000000000001,4.92,4.92
500,4.9399999999999995,4.89,4.760000000000001,4.73,4.75
1000,5.18,4.96,5.45,5.01,5.06
