,1,2,3,5,10
10,4.896191850782724,4.671791839148433,4.712629347961601,4.7231471204834135,
20,5.129689671144049,4.541800643086816,4.6489712580493165,4.39432237993389,4.6725533480500365
50,4.914205672931014,5.305079651337541,4.975855553222758,5.103806228373702,6.539074960127592
100,5.220000000000001,5.08,5.24,4.61,4.96
200,4.97,5.08,5.35,4.9,5.17
500,5.1,5.09,4.67,4.66,5.0
1000,5.1,4.99,5.0200000000000005,5.3,5.13
10,4.896191850782724,4.671791839148433,4.712629347961601,4.7231471204834135,
20,5.129689671144049,4.541800643086816,4.6489712580493165,4.39432237993389,4.6725533480500365
50,4.914205672931014,5.305079651337541,4.975855553222758,5.103806228373702,6.539074960127592
100,5.220000000000001,5.08,5.24,4.61,4.96
200,4.97,5.08,5.35,4.9,5.17
500,5.1,5.09,4.67,4.66,5.0
1000,5.1,4.99,5.0200000000000005,5.3,5.13
